vendor,current_price,old_price,product_name,month
Loblaws,16.66,38.03,"Beef Striploin Grilling Steak, Club Pack",6
Loblaws,16.66,38.03,"Beef Striploin Grilling Steak, Club Pack",8
Loblaws,16.66,38.03,"Beef Striploin Grilling Steak, Club Pack",8
Loblaws,16.66,38.03,"Beef Striploin Grilling Steak, Club Pack",8
Loblaws,9.38,16.9,Beef Striploin Steak,6
Loblaws,9.38,16.9,Beef Striploin Steak,6
Loblaws,9.38,16.9,Beef Striploin Steak,6
Loblaws,9.38,17.830000000000002,Beef Striploin Steak,6
Loblaws,8.65,13.31,Beef Striploin Fast Fry Steak,6
Loblaws,8.65,13.31,Beef Striploin Fast Fry Steak,6
Loblaws,8.65,13.31,Beef Striploin Fast Fry Steak,6
Loblaws,8.65,13.31,Beef Striploin Fast Fry Steak,6
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.310000000000002,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,19.310000000000002,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,19.310000000000002,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,19.310000000000002,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,19.310000000000002,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,19.310000000000002,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,10.129999999999999,11.51,Beef Boneless Blade Steak,7
Loblaws,10.129999999999999,11.51,Beef Boneless Blade Steak,7
Loblaws,10.129999999999999,11.51,Beef Boneless Blade Steak,7
Loblaws,10.129999999999999,11.51,Beef Boneless Blade Steak,7
Loblaws,10.129999999999999,11.51,Beef Boneless Blade Steak,7
Loblaws,10.129999999999999,11.51,Beef Boneless Blade Steak,7
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",7
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",8
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",8
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",8
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",8
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",8
Loblaws,20.23,22.07,"Beef Blade Simmering Steak, Boneless, Club Pack",8
Loblaws,6.6499999999999995,13.31,Beef Striploin Fast Fry Steak,8
Loblaws,6.6499999999999995,13.31,Beef Striploin Fast Fry Steak,8
Loblaws,6.6499999999999995,13.31,Beef Striploin Fast Fry Steak,8
Loblaws,8.44,17.830000000000002,Beef Striploin Steak,8
Loblaws,8.44,17.830000000000002,Beef Striploin Steak,8
Loblaws,8.44,17.830000000000002,Beef Striploin Steak,8
Loblaws,14.17,16.54,Beef Tenderloin Steak,8
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
Loblaws,14.17,16.54,Beef Tenderloin Steak,9
